ID,target_residue,residue_location,protein_location,PTM_type,ChEBI,RESID,CCD_substructure,Check,CCD_resid,CCD_combined
O-palmitoleoyl serine,Serine.,Amino acid side chain.,Anywhere.,Lipoprotein.,85189,AA0455,O18,nan,nan,O18
S-palmitoleoyl cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143203,AA0308,nan,nan,nan,
N6-lipoyllysine,Lysine.,Amino acid side chain.,Anywhere.,Lipoyl.,83099,AA0118,nan,nan,nan,
2-methylglutamine,Glutamine.,Amino acid backbone.,Protein core.,Methylation.,nan,AA0273,nan,MGN,MGN,MGN
"""2-methylsulfonyltryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,Methylation.,nan,AA0450,nan,nan,nan,
3-hydroxyvaline (Thr),Threonine.,Amino acid side chain.,Anywhere.,Methylation.,141793,nan,"DHV, HVA",nan,nan,"DHV, HVA"
(3S)-3-methylglutamine,Glutamine.,Amino acid side chain.,Anywhere.,Methylation.,149515,nan,LMQ,nan,nan,LMQ
3-methylisoleucine,Isoleucine.,Amino acid side chain.,Anywhere.,Methylation.,149510,nan,nan,nan,nan,I2M
3-methylthioaspartic acid,Aspartate.,Amino acid side chain.,Anywhere.,Methylation.,73599,AA0232,"D2T, 0TD",KCX,KCX,"KCX, 0TD, D2T"
3-methylvaline,Valine.,Amino acid side chain.,Anywhere.,Methylation.,149511,nan,"HV5, TDD, TBG, BUG",nan,nan,"HV5, TDD, BUG, TBG"
5-methylarginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,166868,AA0272,AGM,AGM,AGM,AGM
Asymmetric dimethylarginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,61897,AA0068,nan,DA2,DA2,DA2
Dimethylated arginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,nan,nan,nan,nan,nan,
Methylhistidine,Histidine.,Amino acid side chain.,Anywhere.,Methylation.,nan,nan,nan,nan,nan,
"N,N,N-trimethylalanine",Alanine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0062,nan,nan,nan,
"N,N,N-trimethylglycine",Glycine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0619,nan,nan,nan,
"N,N,N-trimethylmethionine",Methionine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0456,nan,nan,nan,4MM
"N,N,N-trimethylserine",Serine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0535,nan,nan,nan,
"N,N-dimethylalanine",Alanine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0433,nan,nan,nan,LAL
"N,N-dimethylglycine",Glycine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0620,nan,nan,nan,DMG
"N,N-dimethylleucine",Leucine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0538,nan,nan,nan,
"N,N-dimethylproline",Proline.,Amino acid backbone.,N-terminal.,Methylation.,145671,AA0066,nan,nan,nan,PBE
"N,N-dimethylserine",Serine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0534,nan,nan,nan,
"3,3-dimethylmethionine",Methionine.,Amino acid side chain.,Anywhere.,Methylation.,149518,nan,nan,nan,nan,
"N2,N2-dimethylarginine",Arginine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0569,nan,nan,nan,
"N4,N4-dimethylasparagine",Asparagine.,Amino acid side chain.,Anywhere.,Methylation.,nan,AA0311,nan,DMH,DMH,DMH
N4-methylasparagine,Asparagine.,Amino acid side chain.,Anywhere.,Methylation.,61960,AA0070,nan,MEN,MEN,MEN
N5-methylarginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,nan,AA0305,nan,nan,nan,
N5-methylglutamine,Glutamine.,Amino acid side chain.,Anywhere.,Methylation.,61891,AA0071,MEQ,MEQ,MEQ,MEQ
"N6,N6,N6-trimethyllysine",Lysine.,Amino acid side chain.,Anywhere.,Methylation.,61961,AA0074,nan,M3L,M3L,M3L
"N6,N6-dimethyllysine",Lysine.,Amino acid side chain.,Anywhere.,Methylation.,61976,AA0075,"MLY, TRG",MLY,MLY,"TRG, MLY"
N6-methylated lysine,Lysine.,Amino acid side chain.,Anywhere.,Methylation.,nan,nan,nan,nan,nan,
N6-methyllysine,Lysine.,Amino acid side chain.,Anywhere.,Methylation.,61929,AA0076,MLZ,MLZ,MLZ,MLZ
N-methylalanine,Alanine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0061,nan,MAA,MAA,"MAA, 33X"
N-methylaspartate,Aspartate.,Amino acid backbone.,Anywhere.,Methylation.,195202,nan,"OEM, SOQ",nan,nan,"OEM, SOQ"
N-methylglycine,Glycine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0063,nan,SAR,SAR,SAR
N-methylhistidine,Histidine.,Amino acid backbone.,Anywhere.,Methylation.,195204,nan,E9V,nan,nan,E9V
N-methylisoleucine,Isoleucine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0336,nan,IML,IML,"IML, WZJ"
N-methylleucine,Leucine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0337,nan,MLE,MLE,MLE
N-methylmethionine,Methionine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0064,nan,MME,MME,MME
N-methylphenylalanine,Phenylalanine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0065,nan,MEA,MEA,"MEA, ZAE"
N-methylproline,Proline.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0419,nan,nan,nan,"PKR, 3BY"
N-methylserine,Serine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0533,nan,nan,nan,"DSE, 5JP"
N-methylthreonine,Threonine.,Amino acid backbone.,Anywhere.,Methylation.,194547,nan,"O7A, NZC",nan,nan,"O7A, NZC"
N-methyltyrosine,Tyrosine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0338,nan,nan,nan,YNM
N-methylvaline,Valine.,Amino acid backbone.,Anywhere.,Methylation.,194546,nan,"MV9, MVA",nan,nan,"MV9, MVA"
Omega-N-methylarginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,65280,AA0069,nan,nan,nan,NMM
Omega-N-methylated arginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,nan,nan,nan,nan,nan,
O-methylthreonine,Threonine.,Amino acid side chain.,Anywhere.,Methylation.,167628,AA0464,"XDT, OLT",nan,nan,"OLT, XDT"
Pros-methylhistidine,Histidine.,Amino acid side chain.,Anywhere.,Methylation.,43903,AA0073,MHS,MHS,MHS,MHS
S-methylcysteine,Cysteine.,Amino acid side chain.,Anywhere.,Methylation.,82612,AA0234,"CYM, SMC, 060",SMC,SMC,"CYM, SMC, 060"
S-methylmethionine,Methionine.,Amino acid side chain.,Anywhere.,Methylation.,142742,AA0616,nan,nan,nan,
Symmetric dimethylarginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,88221,AA0067,2MR,nan,nan,2MR
Tele-methylhistidine,Histidine.,Amino acid side chain.,Anywhere.,Methylation.,16367,AA0317,"MH1, HIC, NEM",HIC,HIC,"MH1, NEM, HIC"
N6-myristoyl lysine,Lysine.,Amino acid side chain.,Anywhere.,Myristate.,141129,AA0078,MYK,MYK,MYK,MYK
N-(12R)-12-hydroxymyristoylcysteine,Cysteine.,Amino acid backbone.,N-terminal.,Myristate.,143561,AA0516,nan,nan,nan,
N-(12-oxomyristoyl)cysteine,Cysteine.,Amino acid backbone.,N-terminal.,Myristate.,143562,AA0517,nan,nan,nan,
N-myristoyl glycine,Glycine.,Amino acid backbone.,N-terminal.,Myristate.,133050,AA0059,nan,nan,nan,
ADP-riboxanated arginine,Arginine.,Amino acid side chain.,Anywhere.,nan,184300,nan,nan,nan,nan,
Allysine,Lysine.,Amino acid side chain.,Anywhere.,nan,131803,AA0121,nan,nan,nan,
Cysteine persulfide,Cysteine.,Amino acid side chain.,Anywhere.,nan,61963,AA0269,CSS,CSS,CSS,CSS
Diphthamide,Histidine.,Amino acid side chain.,Anywhere.,nan,16692,AA0040,nan,DDE,DDE,DDE
Deoxyhypusine,Lysine.,Amino acid side chain.,Anywhere.,nan,82657,AA0564,5GG,nan,nan,5GG
D-lactate,Serine.,Amino acid backbone.,N-terminal.,nan,149487,AA0186,"2OP, DLA, LAC",nan,nan,"2OP, LAC, DLA"
N2-succinyltryptophan,Tryptophan.,Amino acid backbone.,N-terminal.,nan,nan,AA0130,nan,nan,nan,
N6-1-carboxyethyl lysine,Lysine.,Amino acid side chain.,Anywhere.,nan,156063,AA0115,RF9,nan,nan,RF9
N6-carbamoyllysine,Lysine.,Amino acid side chain.,Anywhere.,nan,144369,nan,YHA,nan,nan,YHA
N6-carboxylysine,Lysine.,Amino acid side chain.,Anywhere.,nan,144366,AA0114,KCX,nan,nan,KCX
N6-crotonyllysine,Lysine.,Amino acid side chain.,Anywhere.,nan,137954,AA0567,KCR,nan,nan,KCR
N6-lactoyllysine,Lysine.,Amino acid side chain.,Anywhere.,nan,145324,nan,D8R,nan,nan,D8R
N6-malonyllysine,Lysine.,Amino acid side chain.,Anywhere.,nan,87831,AA0568,nan,nan,nan,
N6-succinyllysine,Lysine.,Amino acid side chain.,Anywhere.,nan,87830,AA0545,nan,nan,nan,SLL
N6-glutaryllysine,Lysine.,Amino acid side chain.,Anywhere.,nan,87828,nan,nan,nan,nan,
N6-butyryllysine,Lysine.,Amino acid side chain.,Anywhere.,nan,137955,AA0532,BTK,BTK,BTK,BTK
N6-propionyllysine,Lysine.,Amino acid side chain.,Anywhere.,nan,138019,AA0475,PRK,PRK,PRK,PRK
N-carbamoylalanine,Alanine.,Amino acid backbone.,N-terminal.,nan,nan,AA0343,nan,nan,nan,
S-(2-succinyl)cysteine,Cysteine.,Amino acid side chain.,Anywhere.,nan,143134,AA0561,CML,nan,nan,CML
S-carbamoylcysteine,Cysteine.,Amino acid side chain.,Anywhere.,nan,nan,AA0332,nan,nan,nan,QCS
S-cGMP-cysteine,Cysteine.,Amino acid side chain.,Anywhere.,nan,144463,nan,nan,nan,nan,
"""3-nitrotyrosine""",Tyrosine.,Amino acid side chain.,Anywhere.,Nitration.,149694,AA0537,nan,NIY,NIY,NIY
Nitrated tyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,Nitration.,nan,nan,nan,nan,nan,
O-AMP-serine,Serine.,Amino acid side chain.,Anywhere.,Nucleotide-binding; Phosphoprotein.,142516,nan,nan,nan,nan,
O-AMP-threonine,Threonine.,Amino acid side chain.,Anywhere.,Nucleotide-binding; Phosphoprotein.,138113,AA0267,nan,nan,nan,
O-AMP-tyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,Nucleotide-binding; Phosphoprotein.,83624,AA0203,nan,nan,nan,
O-di-AMP-tyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,Nucleotide-binding; Phosphoprotein.,167160,nan,BNZ,nan,nan,BNZ
O-tri-AMP-tyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,Nucleotide-binding; Phosphoprotein.,167161,nan,nan,nan,nan,
O-UMP-histidine,Histidine.,Amino acid side chain.,Anywhere.,Nucleotide-binding; Phosphoprotein.,nan,AA0372,nan,nan,nan,
O-UMP-serine,Serine.,Amino acid side chain.,Anywhere.,Nucleotide-binding; Phosphoprotein.,156051,nan,nan,nan,nan,
O-UMP-threonine,Threonine.,Amino acid side chain.,Anywhere.,Nucleotide-binding; Phosphoprotein.,156052,nan,nan,nan,nan,
O-UMP-tyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,Nucleotide-binding; Phosphoprotein.,90602,AA0256,nan,nan,nan,
Cysteine sulfenic acid (-SOH),Cysteine.,Amino acid side chain.,Anywhere.,Oxidation.,61973,AA0205,"CEA, CSO",nan,nan,"CEA, CSO"
Cysteine sulfinic acid (-SO2H),Cysteine.,Amino acid side chain.,Anywhere.,Oxidation.,61974,AA0262,"CSW, CSD",CSD,CSD,"CSW, CSD"
Cysteine sulfonic acid (-SO3H),Cysteine.,Amino acid side chain.,Anywhere.,Oxidation.,141830,AA0556,nan,OCS,OCS,"OCS, 00C"
Methionine sulfone,Methionine.,Amino acid side chain.,Anywhere.,Oxidation.,156065,AA0251,OMT,OMT,OMT,OMT
Methionine (R)-sulfoxide,Methionine.,Amino acid side chain.,Anywhere.,Oxidation.,45764,AA0581,"MHO, SME",SME,SME,"MHO, SME"
Methionine (S)-sulfoxide,Methionine.,Amino acid side chain.,Anywhere.,Oxidation.,44120,nan,nan,nan,nan,
Methionine sulfoxide,Methionine.,Amino acid side chain.,Anywhere.,Oxidation.,15989,nan,"MHO, SME",nan,nan,"MHO, SME"
(4R)-5-oxoleucine,Leucine.,Amino acid side chain.,Anywhere.,Oxidation.,nan,AA0444,nan,LED,LED,LED
N6-palmitoyl lysine,Lysine.,Amino acid side chain.,Anywhere.,Palmitate.,138936,AA0077,nan,nan,nan,
N-palmitoyl cysteine,Cysteine.,Amino acid backbone.,N-terminal.,Palmitate.,143147,AA0060,nan,nan,nan,
N-palmitoyl glycine,Glycine.,Amino acid backbone.,N-terminal.,Palmitate.,143223,AA0339,140,nan,nan,140
O-palmitoyl serine,Serine.,Amino acid side chain.,Anywhere.,Palmitate.,140185,AA0080,nan,nan,nan,
O-palmitoyl threonine,Threonine.,Amino acid side chain.,Anywhere.,Palmitate.,143621,AA0079,nan,nan,nan,
S-palmitoyl cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Palmitate.,74151,AA0106,P1L,nan,nan,P1L
Murein peptidoglycan amidated serine,Serine.,Amino acid backbone.,C-terminal.,Peptidoglycan-anchor.,nan,nan,nan,nan,nan,
N6-murein peptidoglycan lysine,Lysine.,Amino acid side chain.,Anywhere.,Peptidoglycan-anchor.,nan,AA0218,nan,nan,nan,
Pentaglycyl murein peptidoglycan amidated alanine,Alanine.,Amino acid backbone.,C-terminal.,Peptidoglycan-anchor.,nan,AA0383,nan,nan,nan,
Pentaglycyl murein peptidoglycan amidated threonine,Threonine.,Amino acid backbone.,C-terminal.,Peptidoglycan-anchor.,nan,AA0345,nan,nan,nan,
"""O-(pantetheine 4-phosphoryl)serine""",Serine.,Amino acid side chain.,Anywhere.,Phosphopantetheine; Phosphoprotein.,64479,AA0150,4HH,nan,nan,4HH
4-aspartylphosphate,Aspartate.,Amino acid side chain.,Anywhere.,Phosphoprotein.,145811,AA0033,"ASQ, PHD, PAS",PHD,PHD,"PHD, ASQ, PAS"
5-glutamyl glycerylphosphorylethanolamine,Glutamate.,Amino acid side chain.,Anywhere.,Phosphoprotein.,156066,AA0170,nan,nan,nan,
"""Aspartic acid 1-(3-aminopropyl)(5-adenosyl)phosphonoamide""",Asparagine.,Amino acid backbone.,C-terminal.,Phosphoprotein.,nan,AA0328,nan,nan,nan,
Diphosphoserine,Serine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,149682,nan,nan,nan,nan,
Diphosphothreonine,Threonine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,149684,nan,nan,nan,nan,
O-(2-aminoethylphosphoryl)serine,Serine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,nan,AA0497,nan,nan,nan,
O-(2-cholinephosphoryl)serine,Serine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,nan,AA0498,nan,nan,nan,
O-(phosphoribosyl dephospho-coenzyme A)serine,Serine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,nan,AA0167,nan,nan,nan,
Phosphoarginine,Arginine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,83226,AA0222,nan,nan,nan,RPI
Phosphocysteine,Cysteine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,61975,AA0034,CSP,CSP,CSP,CSP
Phosphohistidine,Histidine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,nan,nan,nan,nan,nan,
Phosphoserine,Serine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,83421,AA0037,SEP,SEP,SEP,SEP
Phosphothreonine,Threonine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,61977,AA0038,"YTH, D11, TPO",TPO,TPO,"D11, TPO, YTH"
Phosphotyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,82620,AA0039,nan,PTR,PTR,PTR
Pros-phosphohistidine,Histidine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,64837,AA0036,HIP,nan,nan,HIP
Tele-phosphohistidine,Histidine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,83586,AA0035,NEP,NEP,NEP,NEP
"""3-farnesyl-2,N2-cyclotryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,Prenylation.,177368,AA0500,nan,nan,nan,
"""3-geranyl-2,N2-cyclotryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,Prenylation.,141127,AA0408,nan,nan,nan,
"""3-prenyl-2,N2-cyclotryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,Prenylation.,147338,nan,nan,nan,nan,
S-12-hydroxyfarnesyl cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Prenylation.,143699,AA0103,nan,nan,nan,
S-farnesyl cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Prenylation.,86019,AA0102,nan,nan,nan,
S-geranylgeranyl cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Prenylation.,86021,AA0104,nan,nan,nan,
Pyrrolidone carboxylic acid,Glutamine.,Amino acid backbone.,N-terminal.,Pyrrolidone carboxylic acid.,87215,AA0031,"PCC, PCA, 5HP, 7YO",PCA,PCA,"5HP, 7YO, PCA, PCC"
Pyrrolidone carboxylic acid (Glu),Glutamate.,Amino acid backbone.,N-terminal.,Pyrrolidone carboxylic acid.,87215,AA0031,"PCC, PCA, 5HP, 7YO",PCA,PCA,"5HP, 7YO, PCA, PCC"
2-(S-cysteinyl)pyruvic acid O-phosphothioketal,Cysteine.,Amino acid side chain.,Anywhere.,Pyruvate.,149496,AA0391,QPA,QPA,QPA,QPA
N-pyruvate 2-iminyl-cysteine,Cysteine.,Amino acid backbone.,N-terminal.,Pyruvate.,nan,AA0274,nan,nan,nan,
N-pyruvate 2-iminyl-valine,Valine.,Amino acid backbone.,N-terminal.,Pyruvate.,nan,AA0275,nan,nan,nan,
Pyruvic acid (Cys),Cysteine.,Amino acid backbone.,N-terminal.,Pyruvate.,45360,AA0127,nan,nan,nan,
Pyruvic acid (Ser),Serine.,Amino acid backbone.,N-terminal.,Pyruvate.,45360,AA0127,nan,nan,nan,
Pyruvic acid (Tyr),Tyrosine.,Amino acid backbone.,N-terminal.,Pyruvate.,45360,AA0127,nan,nan,nan,
S-nitrosocysteine,Cysteine.,Amino acid side chain.,Anywhere.,S-nitrosylation.,149494,AA0230,SNC,nan,nan,SNC
Sulfocysteine,Cysteine.,Amino acid side chain.,Anywhere.,Sulfation.,87169,AA0171,CSU,CSU,CSU,CSU
Sulfoserine,Serine.,Amino acid side chain.,Anywhere.,Sulfation.,nan,AA0361,nan,OSE,OSE,OSE
Sulfothreonine,Threonine.,Amino acid side chain.,Anywhere.,Sulfation.,nan,AA0362,nan,nan,nan,
Sulfotyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,Sulfation.,65286,AA0172,"TYS, STY",TYS,TYS,"TYS, STY"
"""2,4,5-topaquinone""",Tyrosine.,Amino acid side chain.,Anywhere.,TPQ.,79027,AA0147,TPQ,TPQ,TPQ,TPQ